Correctness Score,Concept Coverage,Reasoning Score,Missing Concepts,Engagement Score,Confidence Score,Hesitation Score,Eye Contact Score,Difficulty,Correct Streak,Wrong Streak,Policy
20,25,28,7,0.143,0.112,0.809,0.15,Medium,1,0,Reduce Difficulty
93,88,90,0,0.829,0.857,0.171,0.838,Easy,0,0,Increase Difficulty
30,40,28,5,0.304,0.24,0.808,0.371,Medium,0,4,Reduce Difficulty
85,83,85,1,0.758,0.726,0.257,0.774,Medium,1,0,Ask Application Question
51,50,45,8,0.342,0.451,0.608,0.279,Easy,0,1,Probe Missing Concept
35,43,42,6,0.332,0.401,0.615,0.407,Hard,0,3,Reduce Difficulty
96,94,95,0,0.942,0.919,0.071,0.94,Hard,0,0,Switch Topic
80,77,80,2,0.62,0.584,0.394,0.626,Medium,0,1,Ask Application Question
96,93,95,0,0.934,0.944,0.087,0.919,Hard,0,0,Switch Topic
92,90,91,1,0.849,0.832,0.12,0.858,Easy,0,0,Increase Difficulty
78,73,86,2,0.756,0.671,0.242,0.71,Easy,0,1,Ask Follow-up Question
83,83,80,2,0.671,0.686,0.255,0.634,Medium,1,0,Ask Application Question
35,28,30,5,0.359,0.243,0.792,0.188,Medium,1,0,Reduce Difficulty
79,77,90,0,0.749,0.824,0.118,0.731,Medium,2,0,Ask Follow-up Question
27,34,26,6,0.248,0.178,0.84,0.278,Medium,2,0,Reduce Difficulty
85,78,87,1,0.88,0.866,0.199,0.844,Medium,0,2,Ask Follow-up Question
86,81,83,2,0.741,0.776,0.305,0.696,Medium,0,1,Ask Application Question
64,58,73,4,0.588,0.509,0.484,0.633,Easy,1,0,Probe Missing Concept
46,60,58,3,0.406,0.47,0.519,0.564,Easy,0,1,Maintain Difficulty
78,75,83,2,0.703,0.699,0.29,0.783,Medium,1,0,Ask Follow-up Question
95,91,92,0,0.903,0.868,0.123,0.888,Easy,0,0,Increase Difficulty
41,38,30,6,0.416,0.374,0.81,0.312,Hard,0,3,Reduce Difficulty
84,77,77,3,0.692,0.647,0.416,0.541,Medium,0,0,Ask Application Question
95,94,93,0,0.891,0.91,0.071,0.914,Easy,0,0,Increase Difficulty
60,50,55,2,0.503,0.536,0.564,0.441,Medium,0,1,Maintain Difficulty
34,35,23,6,0.341,0.245,0.897,0.28,Medium,0,3,Reduce Difficulty
56,62,54,7,0.434,0.502,0.461,0.391,Medium,0,2,Probe Missing Concept
87,82,82,1,0.81,0.728,0.286,0.686,Medium,0,1,Ask Application Question
96,94,95,0,0.931,0.933,0.081,0.922,Hard,0,0,Switch Topic
26,34,30,7,0.205,0.237,0.798,0.276,Medium,0,3,Reduce Difficulty
33,45,41,7,0.296,0.42,0.639,0.424,Medium,0,3,Reduce Difficulty
92,87,88,0,0.934,0.855,0.144,0.851,Medium,2,0,Ask Application Question
96,96,95,0,0.941,0.894,0.03,0.935,Easy,0,0,Increase Difficulty
92,90,90,0,0.952,0.9,0.054,0.905,Medium,2,0,Ask Application Question
84,79,90,0,0.853,0.907,0.113,0.818,Medium,1,0,Ask Follow-up Question
94,93,92,0,0.888,0.899,0.098,0.928,Hard,0,0,Switch Topic
60,59,62,6,0.511,0.496,0.484,0.5,Easy,0,2,Probe Missing Concept
73,72,84,1,0.6,0.66,0.269,0.646,Easy,1,0,Ask Follow-up Question
85,84,87,1,0.742,0.781,0.215,0.821,Medium,0,0,Ask Application Question
32,39,38,6,0.294,0.333,0.68,0.353,Hard,1,0,Reduce Difficulty
52,40,41,6,0.43,0.306,0.71,0.244,Easy,1,0,Probe Missing Concept
72,61,75,5,0.66,0.608,0.469,0.651,Easy,0,1,Probe Missing Concept
49,45,72,4,0.449,0.441,0.375,0.422,Easy,1,0,Maintain Difficulty
72,42,42,3,0.63,0.508,0.701,0.357,Hard,1,0,Maintain Difficulty
96,95,96,0,0.954,0.93,0.055,0.939,Hard,0,0,Switch Topic
92,90,92,1,0.87,0.842,0.117,0.87,Hard,0,0,Switch Topic
79,73,86,2,0.794,0.677,0.228,0.701,Easy,0,1,Ask Follow-up Question
72,60,73,4,0.675,0.573,0.478,0.634,Easy,0,1,Probe Missing Concept
61,58,70,2,0.533,0.592,0.406,0.533,Medium,1,0,Maintain Difficulty
83,81,84,2,0.677,0.709,0.292,0.736,Medium,1,0,Ask Application Question
64,60,60,6,0.553,0.543,0.477,0.47,Medium,0,2,Probe Missing Concept
79,74,83,3,0.775,0.629,0.295,0.774,Medium,0,1,Ask Follow-up Question
75,71,84,2,0.666,0.612,0.291,0.636,Medium,0,0,Ask Follow-up Question
85,81,85,0,0.777,0.665,0.277,0.76,Medium,2,0,Ask Application Question
77,72,88,5,0.699,0.764,0.335,0.796,Easy,0,1,Probe Missing Concept
41,47,50,2,0.499,0.398,0.48,0.48,Hard,0,4,Reduce Difficulty
38,42,35,5,0.407,0.349,0.72,0.394,Medium,0,4,Reduce Difficulty
95,94,96,0,0.932,0.891,0.039,0.889,Easy,0,0,Increase Difficulty
93,91,90,0,0.857,0.863,0.14,0.903,Hard,0,0,Switch Topic
83,77,88,1,0.859,0.806,0.173,0.811,Easy,0,1,Ask Follow-up Question
78,76,85,2,0.746,0.652,0.226,0.786,Easy,0,2,Ask Follow-up Question
96,95,93,0,0.923,0.903,0.084,0.96,Hard,0,0,Switch Topic
78,75,85,1,0.725,0.724,0.234,0.754,Medium,0,1,Ask Follow-up Question
67,60,80,4,0.618,0.571,0.468,0.721,Easy,1,0,Probe Missing Concept
84,81,85,1,0.754,0.687,0.285,0.768,Medium,0,1,Ask Application Question
88,87,90,1,0.833,0.856,0.131,0.879,Medium,1,0,Ask Application Question
87,82,82,1,0.798,0.726,0.29,0.686,Medium,0,1,Ask Application Question
30,48,51,2,0.197,0.423,0.597,0.436,Hard,1,0,Maintain Difficulty
30,32,39,5,0.305,0.242,0.653,0.252,Hard,0,2,Reduce Difficulty
81,75,88,2,0.824,0.741,0.166,0.73,Easy,0,1,Ask Follow-up Question
74,68,81,3,0.651,0.553,0.399,0.598,Medium,0,0,Ask Follow-up Question
31,32,21,7,0.275,0.243,0.939,0.233,Hard,2,0,Reduce Difficulty
94,90,92,0,0.885,0.885,0.133,0.886,Hard,0,0,Switch Topic
84,81,82,1,0.739,0.639,0.292,0.691,Medium,2,0,Ask Application Question
77,69,83,2,0.688,0.662,0.35,0.608,Easy,1,0,Ask Follow-up Question
41,43,39,6,0.397,0.475,0.675,0.391,Medium,0,4,Reduce Difficulty
77,72,85,2,0.727,0.662,0.26,0.673,Medium,0,1,Ask Follow-up Question
38,35,21,6,0.387,0.277,0.936,0.274,Hard,0,4,Reduce Difficulty
93,89,89,1,0.833,0.826,0.17,0.861,Easy,0,0,Increase Difficulty
40,38,24,5,0.431,0.309,0.894,0.322,Medium,0,2,Reduce Difficulty
75,70,79,4,0.706,0.66,0.356,0.697,Medium,0,1,Probe Missing Concept
77,72,86,2,0.72,0.688,0.254,0.665,Easy,0,1,Ask Follow-up Question
36,43,36,4,0.39,0.332,0.692,0.415,Hard,0,4,Reduce Difficulty
26,41,37,7,0.191,0.337,0.691,0.367,Hard,0,5,Reduce Difficulty
75,72,82,2,0.659,0.619,0.34,0.686,Medium,0,1,Ask Follow-up Question
62,67,60,4,0.595,0.51,0.489,0.643,Easy,2,0,Maintain Difficulty
85,85,88,0,0.78,0.726,0.167,0.856,Medium,3,0,Ask Application Question
98,93,96,0,0.982,0.955,0.095,0.932,Hard,0,0,Switch Topic
96,95,94,0,0.926,0.943,0.072,0.955,Hard,0,0,Switch Topic
92,89,91,1,0.846,0.831,0.14,0.843,Easy,0,0,Increase Difficulty
92,89,90,0,0.812,0.859,0.153,0.839,Easy,0,0,Increase Difficulty
87,77,76,1,0.798,0.762,0.356,0.713,Easy,0,0,Maintain Difficulty
64,75,75,5,0.567,0.623,0.292,0.66,Easy,1,0,Probe Missing Concept
98,92,92,0,0.921,0.897,0.133,0.925,Easy,0,0,Increase Difficulty
33,41,32,4,0.351,0.273,0.747,0.394,Medium,0,4,Reduce Difficulty
95,91,93,0,0.906,0.901,0.119,0.905,Hard,0,0,Switch Topic
97,94,92,0,0.903,0.9,0.109,0.957,Easy,0,0,Increase Difficulty
63,62,58,3,0.626,0.402,0.426,0.473,Easy,2,0,Probe Missing Concept
81,82,81,2,0.644,0.67,0.285,0.652,Medium,2,0,Ask Application Question
93,90,92,0,0.864,0.863,0.13,0.844,Easy,0,0,Increase Difficulty
81,79,87,1,0.792,0.778,0.172,0.851,Easy,1,0,Ask Follow-up Question
98,93,96,0,0.972,0.936,0.09,0.942,Hard,0,0,Switch Topic
24,32,29,6,0.204,0.182,0.793,0.245,Hard,0,4,Reduce Difficulty
94,93,92,0,0.874,0.864,0.085,0.892,Easy,0,0,Increase Difficulty
92,89,93,1,0.887,0.855,0.117,0.843,Hard,0,0,Switch Topic
76,73,85,1,0.647,0.698,0.276,0.673,Easy,1,0,Ask Follow-up Question
96,95,93,0,0.898,0.904,0.068,0.938,Easy,0,0,Increase Difficulty
82,76,85,1,0.794,0.797,0.268,0.799,Medium,0,0,Ask Follow-up Question
41,43,34,6,0.413,0.431,0.754,0.398,Medium,0,2,Reduce Difficulty
94,92,92,0,0.872,0.861,0.107,0.878,Easy,0,0,Increase Difficulty
39,44,39,5,0.404,0.403,0.658,0.426,Medium,1,0,Reduce Difficulty
84,83,83,1,0.734,0.712,0.238,0.706,Medium,0,1,Ask Application Question
82,71,85,3,0.846,0.675,0.311,0.701,Easy,0,0,Ask Follow-up Question
70,63,58,3,0.66,0.551,0.527,0.591,Medium,2,0,Maintain Difficulty
63,56,61,5,0.639,0.436,0.474,0.537,Medium,3,0,Maintain Difficulty
92,89,92,1,0.873,0.847,0.135,0.864,Hard,0,0,Switch Topic
74,71,77,3,0.718,0.624,0.322,0.673,Medium,0,1,Maintain Difficulty
95,91,91,1,0.887,0.858,0.135,0.897,Easy,0,0,Increase Difficulty
39,40,30,6,0.378,0.377,0.814,0.348,Medium,0,4,Reduce Difficulty
62,55,54,6,0.512,0.505,0.543,0.395,Easy,1,0,Probe Missing Concept
59,63,65,4,0.581,0.475,0.441,0.6,Medium,2,0,Maintain Difficulty
50,63,66,4,0.482,0.452,0.425,0.611,Medium,1,0,Maintain Difficulty
73,69,82,1,0.543,0.673,0.39,0.586,Easy,0,1,Ask Follow-up Question
74,67,84,2,0.636,0.618,0.348,0.529,Easy,1,0,Ask Follow-up Question
61,64,64,3,0.574,0.53,0.456,0.602,Easy,2,0,Maintain Difficulty
95,93,93,0,0.899,0.914,0.103,0.92,Hard,0,0,Switch Topic
87,83,85,2,0.784,0.778,0.265,0.756,Medium,0,1,Ask Application Question
80,76,78,2,0.621,0.577,0.438,0.58,Medium,1,0,Ask Application Question
64,75,60,5,0.57,0.555,0.288,0.483,Easy,0,1,Probe Missing Concept
49,62,49,3,0.435,0.451,0.612,0.579,Medium,0,3,Maintain Difficulty
88,70,72,4,0.836,0.738,0.376,0.603,Easy,1,0,Probe Missing Concept
38,54,42,4,0.418,0.417,0.607,0.585,Medium,0,3,Reduce Difficulty
53,52,50,3,0.464,0.456,0.601,0.472,Easy,0,1,Maintain Difficulty
54,57,68,4,0.489,0.409,0.492,0.591,Medium,0,2,Probe Missing Concept
40,36,32,4,0.436,0.306,0.769,0.302,Hard,0,3,Reduce Difficulty
69,58,75,5,0.633,0.571,0.497,0.648,Easy,1,0,Probe Missing Concept
74,70,86,2,0.657,0.627,0.244,0.571,Medium,0,1,Ask Follow-up Question
97,93,97,0,0.961,0.94,0.064,0.89,Easy,0,0,Increase Difficulty
87,84,83,2,0.787,0.786,0.227,0.71,Medium,2,0,Ask Application Question
89,86,86,1,0.847,0.843,0.185,0.765,Medium,0,1,Ask Application Question
96,88,93,2,0.971,0.869,0.143,0.87,Medium,0,1,Probe Missing Concept
98,95,97,0,0.962,0.957,0.054,0.927,Easy,0,0,Increase Difficulty
69,61,70,5,0.622,0.579,0.467,0.593,Easy,2,0,Probe Missing Concept
24,43,41,3,0.151,0.318,0.689,0.388,Medium,0,1,Maintain Difficulty
85,84,84,1,0.755,0.746,0.232,0.74,Medium,2,0,Ask Application Question
64,48,53,6,0.564,0.442,0.627,0.388,Medium,2,0,Probe Missing Concept
96,94,94,0,0.93,0.919,0.089,0.957,Hard,0,0,Switch Topic
57,53,56,6,0.484,0.431,0.554,0.425,Easy,2,0,Probe Missing Concept
41,41,35,6,0.409,0.432,0.732,0.367,Hard,0,3,Reduce Difficulty
36,44,28,3,0.417,0.26,0.815,0.436,Hard,1,0,Reduce Difficulty
50,68,65,2,0.445,0.524,0.441,0.642,Easy,3,0,Maintain Difficulty
83,76,70,3,0.816,0.637,0.394,0.723,Easy,1,0,Maintain Difficulty
64,51,67,4,0.608,0.436,0.574,0.564,Medium,2,0,Probe Missing Concept
30,38,20,6,0.283,0.228,0.936,0.337,Medium,0,1,Reduce Difficulty
94,85,89,1,0.865,0.776,0.22,0.834,Easy,0,0,Increase Difficulty
97,93,94,1,0.964,0.908,0.101,0.954,Hard,0,0,Switch Topic
94,91,91,0,0.859,0.861,0.129,0.889,Easy,0,0,Increase Difficulty
90,79,93,0,1.0,0.97,0.058,0.834,Medium,0,1,Ask Follow-up Question
30,29,26,4,0.319,0.141,0.843,0.206,Hard,0,3,Reduce Difficulty
88,86,91,0,0.862,0.801,0.15,0.938,Medium,2,0,Ask Application Question
94,92,92,0,0.875,0.867,0.106,0.89,Easy,0,0,Increase Difficulty
94,90,95,0,0.923,0.885,0.097,0.834,Easy,0,0,Increase Difficulty
98,94,97,0,0.977,0.949,0.057,0.923,Easy,0,0,Increase Difficulty
33,34,30,8,0.259,0.351,0.812,0.245,Medium,0,4,Reduce Difficulty
77,70,84,2,0.709,0.657,0.312,0.632,Medium,2,0,Ask Follow-up Question
78,53,68,2,0.688,0.667,0.436,0.467,Hard,1,0,Maintain Difficulty
69,65,70,4,0.654,0.556,0.403,0.602,Easy,3,0,Probe Missing Concept
30,26,34,7,0.252,0.278,0.749,0.142,Hard,0,4,Reduce Difficulty
53,51,70,5,0.457,0.425,0.576,0.599,Easy,0,2,Probe Missing Concept
86,66,83,3,0.833,0.687,0.272,0.621,Hard,1,0,Maintain Difficulty
16,17,13,8,0.049,0.03,1.0,0.015,Medium,1,0,Reduce Difficulty
95,93,94,1,0.926,0.861,0.073,0.907,Easy,0,0,Increase Difficulty
93,91,94,0,0.885,0.869,0.084,0.842,Easy,0,0,Increase Difficulty
53,52,63,4,0.509,0.424,0.461,0.494,Easy,0,1,Maintain Difficulty
97,93,93,0,0.906,0.926,0.093,0.918,Easy,0,0,Increase Difficulty
69,70,80,2,0.475,0.559,0.402,0.602,Easy,1,0,Ask Follow-up Question
81,66,82,1,0.767,0.718,0.436,0.587,Medium,2,0,Ask Follow-up Question
95,94,92,0,0.869,0.899,0.086,0.919,Easy,0,0,Increase Difficulty
38,44,38,5,0.395,0.38,0.68,0.429,Hard,0,3,Reduce Difficulty
42,33,31,4,0.473,0.301,0.771,0.258,Medium,0,3,Reduce Difficulty
55,62,69,6,0.454,0.526,0.446,0.587,Easy,2,0,Probe Missing Concept
45,52,38,4,0.509,0.451,0.674,0.539,Hard,0,3,Reduce Difficulty
67,69,61,5,0.604,0.563,0.362,0.491,Medium,0,2,Probe Missing Concept
56,75,73,2,0.525,0.576,0.357,0.723,Easy,0,1,Maintain Difficulty
87,71,87,2,0.986,0.79,0.287,0.709,Medium,1,0,Ask Follow-up Question
89,92,77,0,0.807,0.846,0.348,0.861,Hard,0,1,Maintain Difficulty
97,93,94,0,0.929,0.918,0.097,0.91,Easy,0,0,Increase Difficulty
95,90,92,1,0.901,0.86,0.138,0.869,Easy,0,0,Increase Difficulty
73,75,89,2,0.73,0.641,0.279,0.833,Easy,2,0,Probe Missing Concept
96,94,93,0,0.908,0.88,0.084,0.933,Easy,0,0,Increase Difficulty
53,61,62,1,0.421,0.601,0.497,0.556,Hard,1,0,Maintain Difficulty
37,21,44,4,0.298,0.283,0.664,0.17,Easy,0,2,Maintain Difficulty
73,69,80,2,0.579,0.597,0.435,0.619,Medium,1,0,Ask Follow-up Question
33,35,34,7,0.292,0.347,0.74,0.27,Medium,2,0,Reduce Difficulty
73,66,60,3,0.682,0.582,0.501,0.621,Easy,0,2,Maintain Difficulty
28,37,31,6,0.262,0.238,0.778,0.324,Hard,1,0,Reduce Difficulty
53,54,67,5,0.447,0.429,0.541,0.568,Easy,0,1,Probe Missing Concept
98,92,94,0,0.948,0.907,0.11,0.92,Easy,0,0,Increase Difficulty
78,75,86,2,0.735,0.69,0.214,0.747,Medium,0,0,Ask Follow-up Question
28,35,34,6,0.265,0.248,0.719,0.297,Hard,0,2,Reduce Difficulty
82,76,85,1,0.82,0.774,0.263,0.815,Easy,0,1,Ask Follow-up Question
79,78,80,3,0.59,0.589,0.391,0.622,Medium,0,0,Ask Application Question
33,39,40,5,0.331,0.337,0.646,0.353,Medium,1,0,Reduce Difficulty
32,38,36,5,0.324,0.295,0.701,0.343,Hard,0,4,Reduce Difficulty
26,27,28,7,0.208,0.212,0.826,0.171,Hard,0,4,Reduce Difficulty
77,73,83,2,0.704,0.667,0.308,0.704,Easy,0,1,Ask Follow-up Question
96,90,93,1,0.928,0.87,0.126,0.881,Easy,0,0,Increase Difficulty
51,53,64,6,0.411,0.424,0.548,0.523,Medium,1,0,Probe Missing Concept
82,85,86,0,0.711,0.671,0.172,0.81,Medium,0,0,Ask Application Question
75,72,82,3,0.653,0.594,0.353,0.692,Medium,0,1,Ask Follow-up Question
35,40,35,6,0.341,0.346,0.72,0.357,Medium,1,0,Reduce Difficulty
67,60,64,5,0.614,0.531,0.473,0.524,Easy,2,0,Probe Missing Concept
60,53,50,5,0.535,0.397,0.554,0.363,Easy,2,0,Probe Missing Concept
48,55,56,4,0.452,0.407,0.534,0.525,Medium,1,0,Maintain Difficulty
85,84,86,1,0.745,0.76,0.212,0.783,Medium,2,0,Ask Application Question
86,84,86,1,0.767,0.755,0.218,0.793,Medium,1,0,Ask Application Question
30,38,39,6,0.287,0.307,0.659,0.344,Medium,1,0,Reduce Difficulty
96,95,94,0,0.94,0.914,0.073,0.957,Hard,0,0,Switch Topic
91,87,88,1,0.812,0.774,0.184,0.823,Easy,0,0,Increase Difficulty
87,85,86,0,0.811,0.745,0.196,0.782,Medium,1,0,Ask Application Question
40,38,45,6,0.38,0.476,0.578,0.321,Hard,1,0,Reduce Difficulty
34,39,30,5,0.361,0.278,0.795,0.358,Medium,1,0,Reduce Difficulty
21,25,18,8,0.126,0.117,0.975,0.142,Medium,0,3,Reduce Difficulty
70,50,65,5,0.643,0.514,0.595,0.531,Easy,0,1,Probe Missing Concept
96,95,95,0,0.949,0.922,0.056,0.952,Hard,0,0,Switch Topic
58,62,62,1,0.463,0.624,0.493,0.561,Easy,1,0,Maintain Difficulty
78,71,87,2,0.753,0.675,0.225,0.672,Easy,0,2,Maintain Difficulty
72,71,71,5,0.661,0.635,0.343,0.6,Easy,1,0,Probe Missing Concept
95,95,93,0,0.913,0.917,0.074,0.953,Hard,0,0,Switch Topic
57,54,60,4,0.549,0.449,0.492,0.512,Easy,0,1,Maintain Difficulty
71,70,75,6,0.611,0.697,0.37,0.636,Easy,1,0,Probe Missing Concept
54,54,60,6,0.462,0.423,0.535,0.478,Medium,2,0,Probe Missing Concept
49,54,49,4,0.535,0.587,0.52,0.561,Hard,0,4,Reduce Difficulty
84,82,80,2,0.705,0.698,0.266,0.633,Medium,0,1,Ask Application Question
98,95,95,0,0.967,0.94,0.066,0.966,Hard,0,0,Switch Topic
81,81,87,0,0.778,0.838,0.147,0.883,Easy,0,1,Ask Follow-up Question
46,44,41,8,0.284,0.394,0.689,0.222,Easy,2,0,Probe Missing Concept
39,40,49,5,0.41,0.432,0.508,0.365,Hard,0,4,Reduce Difficulty
82,77,87,2,0.846,0.771,0.197,0.819,Medium,2,0,Ask Follow-up Question
88,84,82,2,0.811,0.792,0.224,0.679,Medium,2,0,Ask Application Question
90,87,90,0,0.9,0.86,0.132,0.885,Medium,0,1,Ask Application Question
67,63,78,3,0.475,0.419,0.507,0.443,Easy,1,0,Ask Follow-up Question
95,93,92,0,0.879,0.883,0.109,0.914,Easy,0,0,Increase Difficulty
95,93,91,1,0.886,0.856,0.095,0.92,Easy,0,0,Increase Difficulty
94,93,96,0,0.93,0.903,0.062,0.883,Hard,0,0,Switch Topic
95,92,94,0,0.898,0.907,0.081,0.878,Easy,0,0,Increase Difficulty
46,47,40,3,0.55,0.416,0.641,0.47,Hard,0,2,Reduce Difficulty
81,81,82,1,0.681,0.625,0.279,0.694,Medium,1,0,Ask Application Question
62,65,84,1,0.539,0.669,0.268,0.608,Easy,1,0,Maintain Difficulty
54,49,61,8,0.393,0.514,0.624,0.468,Medium,1,0,Probe Missing Concept
77,63,71,0,0.631,0.766,0.417,0.557,Medium,0,1,Maintain Difficulty
35,35,34,6,0.337,0.323,0.737,0.284,Medium,1,0,Reduce Difficulty
96,91,94,1,0.929,0.863,0.114,0.879,Easy,0,0,Increase Difficulty
74,72,87,3,0.696,0.599,0.181,0.636,Easy,0,1,Ask Follow-up Question
78,76,82,1,0.685,0.718,0.31,0.798,Medium,0,1,Ask Follow-up Question
72,66,81,3,0.58,0.527,0.422,0.523,Easy,0,1,Ask Follow-up Question
98,96,96,0,0.956,0.99,0.051,0.964,Hard,0,0,Switch Topic
99,96,96,0,0.972,0.969,0.072,0.977,Hard,0,0,Switch Topic
62,75,70,1,0.554,0.639,0.403,0.705,Easy,0,1,Maintain Difficulty
42,43,28,4,0.478,0.342,0.825,0.41,Hard,0,3,Reduce Difficulty
73,65,48,3,0.68,0.552,0.627,0.598,Easy,2,0,Maintain Difficulty
62,59,71,5,0.566,0.502,0.478,0.609,Medium,1,0,Probe Missing Concept
88,82,86,1,0.809,0.788,0.271,0.79,Medium,2,0,Ask Application Question
96,93,93,1,0.93,0.859,0.094,0.911,Easy,0,0,Increase Difficulty
64,58,72,5,0.574,0.548,0.493,0.621,Medium,1,0,Probe Missing Concept
93,93,94,0,0.873,0.886,0.065,0.874,Easy,0,0,Increase Difficulty
41,23,47,3,0.305,0.371,0.644,0.174,Hard,1,0,Maintain Difficulty
86,84,84,1,0.779,0.751,0.226,0.738,Medium,2,0,Ask Application Question
91,91,90,0,0.918,0.891,0.025,0.909,Medium,0,0,Ask Application Question
30,36,29,3,0.366,0.136,0.775,0.337,Hard,1,0,Reduce Difficulty
40,50,40,4,0.456,0.41,0.63,0.525,Hard,1,0,Reduce Difficulty
48,50,45,3,0.562,0.481,0.567,0.516,Medium,0,2,Reduce Difficulty
94,92,94,0,0.913,0.898,0.091,0.895,Hard,0,0,Switch Topic
89,90,89,0,0.881,0.833,0.063,0.875,Medium,0,1,Ask Application Question
27,24,25,6,0.253,0.138,0.863,0.13,Medium,0,3,Reduce Difficulty
83,83,82,1,0.715,0.659,0.233,0.682,Medium,2,0,Ask Application Question
96,96,95,0,0.931,0.932,0.037,0.933,Easy,0,0,Increase Difficulty
79,78,85,0,0.697,0.794,0.22,0.825,Medium,1,0,Ask Follow-up Question
50,49,37,3,0.399,0.442,0.747,0.434,Medium,3,0,Maintain Difficulty
49,37,52,3,0.41,0.42,0.59,0.322,Medium,1,0,Maintain Difficulty
84,80,83,1,0.72,0.661,0.33,0.706,Medium,1,0,Ask Application Question
86,81,85,1,0.787,0.721,0.297,0.774,Medium,1,0,Ask Application Question
75,71,82,2,0.643,0.634,0.356,0.656,Easy,1,0,Ask Follow-up Question
